PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Nassir Little,POR,22,12,7,5,2.2,0.5,0.1,0.3,33.3,0,0.2,0,0.3,0.3,100,0,0.3,0.3,0,0,0,0,0.2,0.8,0,0,2.4
Nathan Knight,MIN,24,1,0,1,4.3,3,1,5,20,0,1,0,1,2,50,0,2,2,0,0,0,0,1,5.4,0,0,-5
Naz Reid,MIN,22,15,7,8,1.6,0.5,0.2,0.5,42.9,0.1,0.2,33.3,0.1,0.1,50,0.1,0.3,0.5,0.1,0.1,0,0.1,0.3,1.3,1,0,-0.5
Neemias Queta,SAC,22,2,1,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Bjelica,GSW,34,8,5,3,0.7,0.4,0.1,0.4,33.3,0.1,0.4,33.3,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0.7,1,0,0.3
Nerlens Noel,NYK,28,4,2,2,2.6,0,0,0,0,0,0,0,0,0,0,0.3,1,1.3,0.3,0,0,0.3,0.3,2.6,0,0,1
Nic Claxton,BKN,23,15,8,7,3,0.9,0.4,0.7,60,0,0,0,0.1,0.3,40,0.5,0.4,0.9,0.1,0,0.1,0.1,0.4,2.5,2,0,-0.9
Nickeil Alexander-Walker,UTA,23,13,3,10,1.9,0.5,0.2,0.5,28.6,0.1,0.3,25,0.2,0.2,100,0.1,0.2,0.2,0.1,0.1,0,0,0.2,0.9,2,0,-1.3
Nicolas Batum,LAC,33,23,14,9,2.5,1,0.3,0.6,61.5,0.3,0.6,61.5,0,0,0,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.2,2.4,0,0,1.2
Nikola Jokic,DEN,27,36,22,14,3.9,4,1.3,2.6,49.5,0.1,0.3,18.2,1.4,1.8,79.7,0.6,0.9,1.5,0.6,0.5,0.2,0.2,0.5,7.3,34,9,0.8
Nikola Vucevic,CHI,31,36,22,14,3.3,1.3,0.5,1.1,47.4,0.1,0.5,17.6,0.2,0.3,72.7,0.2,0.8,0.9,0,0.2,0,0.1,0.3,2.6,25,0,1.6
Norman Powell,LAC,29,19,6,13,3.1,1.7,0.4,0.8,53.3,0.2,0.3,50,0.7,0.9,82.4,0,0.2,0.2,0.2,0.1,0.2,0.1,0.4,3.1,0,0,-1
O.G. Anunoby,TOR,24,25,15,10,4.2,2.4,0.9,2,44,0.3,1,33.3,0.3,0.3,100,0.5,0.7,1.2,0.2,0.1,0.2,0.3,0.2,5.4,1,0,0.8
Obi Toppin,NYK,24,14,5,9,1.4,0.3,0.1,0.6,25,0,0.2,0,0,0,0,0.1,0.4,0.5,0,0,0,0.1,0.3,1.1,2,0,-1.9
Olivier Sarr,OKC,23,4,2,2,3.6,0.5,0.3,0.3,100,0,0,0,0,0,0,0.3,0.5,0.8,0,0,0,0,0.5,1.4,1,0,2.3
Omer Yurtseven,MIA,24,6,3,3,1.2,0.3,0.2,0.5,33.3,0,0,0,0,0,0,0.3,0.2,0.5,0,0,0,0,0,0.9,4,0,0
Onyeka Okongwu,ATL,21,8,4,4,3,1.3,0.6,0.6,100,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.3,0.1,2.7,0,0,1.9
Oshae Brissett,IND,24,26,7,19,3,0.7,0.2,0.6,31.3,0,0.3,14.3,0.3,0.6,53.3,0.3,0.5,0.8,0.1,0.1,0.1,0.2,0.4,2.7,5,0,-1.4
Otto Porter Jr.,GSW,29,25,14,11,3,0.7,0.2,0.4,54.5,0,0.2,25,0.2,0.2,80,0.2,0.6,0.8,0.2,0.2,0.1,0.1,0.2,2.4,4,0,0.4
P.J. Tucker,MIA,37,26,15,11,3.7,0.7,0.2,0.3,44.4,0.1,0.2,60,0.3,0.4,80,0.2,0.5,0.7,0,0.2,0.1,0,0.5,1.9,4,0,-0.2
P.J. Washington,CHA,23,22,11,11,4.6,2,0.8,1.5,54.5,0.3,0.7,40,0.1,0.2,75,0.3,0.4,0.7,0.5,0.1,0.2,0.1,0.7,4.5,3,0,0.5
PJ Dozier,DEN,25,4,2,2,2.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0.5,0.5,0.3,0.3,0.5,0,1,2.2,0,0,-1
Pascal Siakam,TOR,28,38,22,16,4.1,1.7,0.6,1.4,40,0,0.1,20,0.5,0.7,66.7,0.3,0.8,1.1,0.5,0.1,0.2,0.2,0.6,4.8,18,1,1
Pat Connaughton,MIL,29,28,15,13,2.1,0.9,0.3,0.7,42.1,0.3,0.6,43.8,0,0,100,0.1,0.3,0.4,0.1,0,0.1,0,0.1,1.6,0,0,1
Patrick Beverley,MIN,33,25,14,11,2.6,1,0.3,0.6,50,0.1,0.2,50,0.3,0.6,50,0.2,0.4,0.6,0.2,0,0.1,0.2,0.4,2.9,1,0,1
Patrick Williams,CHI,20,4,4,0,2.9,2.5,0.8,1,75,0.3,0.3,100,0.8,0.8,100,0,0.8,0.8,0.3,0.3,0,0,0.3,3.5,1,0,3.5
Patty Mills,BKN,33,36,19,17,3.1,1,0.4,0.8,48.1,0.2,0.5,38.9,0.1,0.1,75,0.1,0.3,0.4,0.1,0.1,0.1,0,0.2,1.7,0,0,1.1
Paul George,LAC,32,14,9,5,3.1,2.8,0.9,1.9,48.1,0.3,0.8,36.4,0.6,0.6,100,0.1,0.9,1,0.7,0.1,0.1,0,0.3,5.3,3,0,2.3
Paul Millsap,PHI,37,6,3,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.7
Paul Reed,PHI,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Payton Pritchard,BOS,24,9,1,8,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0,0.1,0,0.3,0.8,0,0,-1.9
Precious Achiuwa,TOR,22,17,12,5,2.5,0.6,0.2,0.6,27.3,0,0.2,0,0.3,0.8,38.5,0.3,0.2,0.5,0,0.1,0,0,0.4,1.2,2,0,2.2
Quentin Grimes,NYK,22,9,4,5,3.4,0.9,0.3,0.9,37.5,0.2,0.7,33.3,0,0,0,0.2,0.3,0.6,0,0,0,0,0.4,1.6,0,0,-3.1
Quinndary Weatherspoon,GSW,25,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.J. Hampton,ORL,21,9,4,5,4.2,1.3,0.4,0.8,57.1,0.1,0.3,33.3,0.3,0.3,100,0,0.4,0.4,0.6,0.1,0.2,0,0.4,3.3,0,0,0.8
RJ Barrett,NYK,22,31,14,17,3.3,2.2,0.7,1.7,43.4,0.3,0.5,47.1,0.5,0.6,78.9,0,0.4,0.5,0.2,0.2,0,0,0.2,2.9,2,0,-0.9
Rajon Rondo,CLE,36,7,4,3,2.5,0.6,0.1,0.6,25,0.1,0.4,33.3,0.1,0.1,100,0,0.3,0.3,0.1,0.1,0,0,0.3,1,0,0,1.1
Raul Neto,WAS,30,20,13,7,2.7,1.2,0.4,0.9,47.1,0.1,0.3,33.3,0.3,0.3,83.3,0.1,0.1,0.2,0.6,0.2,0.1,0.1,0.3,2.3,0,0,-0.9
Reggie Bullock,DAL,31,22,13,9,2.8,0.7,0.2,0.7,31.3,0.1,0.5,27.3,0.1,0.1,66.7,0.1,0.1,0.2,0,0,0,0,0.1,1.3,0,0,-0.5
Reggie Jackson,LAC,32,36,21,15,3.4,3,0.9,2.1,44,0.2,0.7,33.3,0.9,1.1,80.5,0.1,0.3,0.4,0.8,0.2,0.1,0,0.3,4.6,3,0,1
Reggie Perry,POR,22,1,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Richaun Holmes,SAC,28,17,6,11,2.6,0.6,0.1,0.2,33.3,0,0,0,0.5,0.5,100,0.1,0.5,0.6,0.1,0.1,0.1,0.1,0.3,1.7,5,0,-1.4
Ricky Rubio,IND,31,13,5,8,3.1,0.9,0.2,1.2,18.8,0.1,0.8,10,0.4,0.7,55.6,0.2,0.3,0.5,0.3,0.2,0.1,0.1,0.6,2.2,2,0,-1
Robert Covington,LAC,31,27,12,15,2.4,0.7,0.2,0.6,29.4,0.2,0.5,35.7,0.1,0.1,100,0.1,0.7,0.8,0,0,0.1,0.1,0.3,2.2,1,0,0
Robert Williams III,BOS,24,21,9,12,4.1,1.4,0.4,0.6,69.2,0,0,0,0.6,0.6,100,0.4,0.8,1.2,0,0.1,0.1,0.4,0.6,4.3,9,0,0.3
Robin Lopez,ORL,34,4,2,2,1,0,0,0.8,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0.3,0,1.4,2,0,-1
Rodney Hood,LAC,29,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
Rodney McGruder,DET,30,7,3,4,1.5,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.1,0,0,0.1,0.2,0,0,-0.7
Romeo Langford,SAS,22,5,1,4,2.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.8,0,0,-3.4
Royce O'Neale,UTA,29,39,17,22,3.3,0.2,0.1,0.4,14.3,0,0.2,11.1,0.1,0.1,60,0.2,0.4,0.6,0.4,0.1,0.1,0,0.3,1.5,2,0,-0.2
Rudy Gay,UTA,35,6,3,3,1.1,1.2,0.5,0.7,75,0.2,0.3,50,0,0.3,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0.3
Rudy Gobert,UTA,30,33,14,19,3.8,2.1,0.5,0.8,72,0,0.1,0,1,1.4,71.1,0.6,1,1.6,0.1,0.2,0.1,0.3,0.5,5.2,25,0,-0.2
